Log_PyClone_Clusters	ESTIMATE_ImmuneScore
3.459431619	4175.703849
5.64385619	4177.241096
2.321928095	4184.166735
3.700439718	4204.747988
5.459431619	4208.296425
5.169925001	4210.674121
3.906890596	4212.290837
2.584962501	4215.075265
4.087462841	4224.830649
4.321928095	4226.60351
4.087462841	4230.957136
1.584962501	4239.210956
4.321928095	4240.429037
2	4245.860019
3.584962501	4247.172807
2.584962501	4251.049428
3.807354922	4255.954448
3.906890596	4257.831526
3.807354922	4262.533711
4.857980995	4262.917799
2.584962501	4263.899239
4.321928095	4269.732502
2.584962501	4272.062578
7.294620749	4274.8388
2.807354922	4276.42978
2	4300.397311
2.807354922	4304.173277
4.087462841	4314.903873
3.700439718	4320.781959
3.906890596	4331.100768
6.108524457	4347.988705
2.584962501	4366.852641
3.807354922	4380.214044
3.700439718	4380.969049
5.169925001	4381.358405
4.087462841	4384.845227
3.459431619	4388.439134
3.459431619	4404.348361
4.64385619	4415.734737
1	4422.488135
3.169925001	4427.188725
3.169925001	4429.781488
3.169925001	4440.295859
5.727920455	4453.649924
2.584962501	4455.512327
3.584962501	4456.084849
2.584962501	4497.753384
5.523561956	4520.062451
1.584962501	4532.64879
2.584962501	4550.643448
5.459431619	4551.778774
3	4580.154277
3.169925001	4581.76254
3.169925001	4595.223359
4.857980995	4596.810333
3.700439718	4602.551247
4.087462841	4614.572178
3.807354922	4616.152467
2.321928095	4630.763052
3.169925001	4647.164656
4.169925001	4651.860949
2	4658.865541
3.906890596	4669.552905
3.169925001	4680.219051
3.321928095	4683.620421
3.584962501	4692.33265
3	4703.656351
2	4703.875193
5.64385619	4712.945191
5.169925001	4735.8734
4.169925001	4736.678411
3.321928095	4737.359084
1.584962501	4747.073992
3.906890596	4757.09754
6.554588852	4765.848355
3.459431619	4770.090681
2	4773.952484
4.169925001	4800.198405
6.108524457	4822.89517
2.807354922	4836.223597
3.906890596	4850.161632
3.584962501	4882.779498
3.321928095	4897.351605
3.169925001	4899.842486
2	4906.496752
3.584962501	4908.852603
7.900866808	4923.414243
2.807354922	4926.400071
5.459431619	4958.831079
3	4965.52178
6	4973.586172
4.700439718	4989.293297
6.044394119	4989.360814
2.584962501	4990.390419
3.807354922	4996.268476
2.807354922	5002.06537
2	5004.666284
4.906890596	5004.883002
4.807354922	5011.01414
2.321928095	5012.587044
3.807354922	5014.37345
