	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
TCGA-AR-A24U 0 0 0.3003793 0 0 0 0 0 0.5525019 0.1471188 0 0 0
TCGA-AR-A24V 0.7212859 0 0 0 0 0 0 0 0.2243626 0 0 0 0
TCGA-AR-A24X 0.7531727 0 0 0 0 0 0.1214255 0 0 0 0 0.09247906 0
TCGA-AR-A24Z 0.1289135 0 0 0.3593412 0 0 0.1160465 0 0.3932777 0 0 0 0
TCGA-AR-A250 0.7163987 0.08105668 0.1501428 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A251 0.2496438 0 0.06448954 0.6239887 0 0 0 0 0 0 0 0 0
TCGA-AR-A254 0.9639445 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A255 0.6155204 0.08248361 0 0 0 0 0.2063375 0 0 0 0 0 0
TCGA-AR-A256 0.285801 0 0 0.5918342 0 0 0 0 0 0 0 0 0
TCGA-AR-A2LE 0.3647993 0.4247712 0.2055604 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A2LH 0.6066451 0.2464529 0.1235294 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A2LJ 0.3183304 0 0 0 0 0 0 0 0.6175838 0 0 0 0
TCGA-AR-A2LK 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A2LL 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A2LN 0.6225272 0.2818165 0 0 0 0 0 0 0 0 0 0 0.07259006
TCGA-AR-A2LR 0.7453154 0 0 0 0 0 0 0 0 0.1943687 0 0 0
TCGA-AR-A5QM 0.7665485 0 0 0 0 0 0 0 0.2193119 0 0 0 0
TCGA-AR-A5QN 0.5259075 0 0 0 0 0 0 0 0 0.4740924 0 0 0
TCGA-AR-A5QP 0.9207051 0.0792949 0 0 0 0 0 0 0 0 0 0 0
TCGA-AR-A5QQ 0.07962411 0.07364907 0 0.3712228 0 0.06423045 0.09698059 0 0.2000652 0 0 0.08049066 0
TCGA-B6-A0I2 0.8281605 0 0.1718395 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0I5 0 0 0 0 0 0 0 0 0 0.9481414 0 0 0
TCGA-B6-A0I8 0.4482238 0 0 0.470904 0 0 0 0 0 0 0 0 0
TCGA-B6-A0I9 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0IA 0.5387198 0.09377935 0 0 0 0 0 0 0 0 0.1319627 0 0.2355382
TCGA-B6-A0IB 0.6565604 0 0 0 0 0 0 0 0 0.2457868 0 0 0
TCGA-B6-A0IC 0.5691685 0 0 0 0 0 0.1223267 0 0 0 0.1989405 0 0
TCGA-B6-A0IG 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0IH 0.6090704 0 0 0 0 0 0 0 0 0.3909296 0 0 0
TCGA-B6-A0IK 0.5204086 0.3259992 0.1535921 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0IN 0.8063391 0 0 0 0 0 0 0 0 0.1451268 0 0 0
TCGA-B6-A0IO 0.6980417 0.141209 0 0 0 0 0 0 0 0.1345608 0 0 0
TCGA-B6-A0IP 0.6678134 0 0 0 0 0 0 0 0.3120435 0 0 0 0
TCGA-B6-A0IQ 0.7035021 0.07321356 0 0.1418354 0 0 0 0 0 0 0 0 0
TCGA-B6-A0RG 0.346164 0 0.1081893 0.3203143 0 0.1793088 0 0 0 0 0 0 0
TCGA-B6-A0RN 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0RO 0.470941 0 0 0.08471509 0 0 0 0 0 0 0.2102782 0 0.2340657
TCGA-B6-A0RP 0 0 0 0 0.1203858 0.331419 0.07930194 0 0.3068288 0 0 0 0.1021186
TCGA-B6-A0RQ 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0RU 0.5720146 0.06637345 0 0.1268555 0 0 0 0 0 0 0 0.1383814 0
TCGA-B6-A0RV 0.5097638 0.2451118 0.2451244 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0WT 0.4049416 0 0 0 0 0 0 0 0.5626603 0 0 0 0
TCGA-B6-A0WV 0.3697829 0 0 0 0 0.4493545 0 0 0 0.1335159 0 0 0
TCGA-B6-A0X0 0.6828384 0 0 0 0.2692398 0 0 0 0 0 0 0 0
TCGA-B6-A0X1 0.5009918 0 0 0.3446908 0 0.06252494 0 0 0 0 0 0 0
TCGA-B6-A0X4 0.9509468 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A0X7 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-B6-A1KC 0.936133 0 0 0 0 0 0.06386697 0 0 0 0 0 0
TCGA-B6-A1KF 0.4874285 0 0 0 0.0601758 0 0 0 0 0.347958 0 0 0
TCGA-B6-A1KI 0.7337109 0 0 0.2484703 0 0 0 0 0 0 0 0 0
TCGA-B6-A1KN 0.5889319 0 0 0 0 0 0.1738532 0 0.1584818 0 0 0 0
TCGA-B6-A2IU 0.6621605 0 0 0 0 0 0 0 0 0.2503874 0 0 0.08745217
TCGA-B6-A40B 0.4467301 0.1213791 0 0.1671588 0 0 0 0 0 0.1630864 0 0 0
TCGA-B6-A40C 1 0 0 0 0 0 0 0 0 0 0 0 0
