	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
PD11383a 0.9019186 0 0 0.08849911 0 0 0 0 0 0 0 0 0
PD18733a 0.2381391 0 0 0 0 0 0.1552949 0 0.2781566 0.09816226 0 0.196087 0
PD4266a 0.626114 0.2638459 0 0 0 0 0 0 0 0 0 0.07537331 0
PD4613a 0.5600623 0.1671456 0.1133545 0.1594375 0 0 0 0 0 0 0 0 0
PD6045a 0.6683083 0.2079314 0 0 0 0 0 0 0.1237603 0 0 0 0
PD7207a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD7341a 0.7704381 0 0.1296111 0.09995078 0 0 0 0 0 0 0 0 0
PD13166a 0.597252 0 0 0.09883532 0 0 0 0 0 0.228742 0 0 0
PD11402a 0.9479783 0 0 0 0 0 0 0 0 0 0 0 0
PD9582a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD11337a 0.3258417 0 0.0768332 0 0 0.08178693 0 0 0.3679338 0.09678585 0 0 0
PD18754a 0.7690073 0.140185 0 0 0 0 0.09080774 0 0 0 0 0 0
PD6721a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD6732b 0.4066134 0 0.1179307 0 0 0.4248009 0 0 0 0 0 0 0
PD9541a 0.8880874 0.07256163 0 0 0 0 0 0 0 0 0 0 0
PD11338a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD11352a 0.8908928 0.104587 0 0 0 0 0 0 0 0 0 0 0
PD11375a 0.9605615 0 0 0 0 0 0 0 0 0 0 0 0
PD13607a 0.9644976 0 0 0 0 0 0 0 0 0 0 0 0
PD6046a 0.9362497 0.06375028 0 0 0 0 0 0 0 0 0 0 0
PD9584a 0.6515614 0 0 0.1753624 0 0 0 0 0 0.0973811 0 0 0
PD11394a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD14471a 0.7139426 0 0 0.09866153 0 0 0 0 0.1508303 0 0 0 0
PD18251a 0.6907466 0 0 0.280511 0 0 0 0 0 0 0 0 0
PD13167a 0.8812993 0 0 0.08395965 0 0 0 0 0 0 0 0 0
PD14472a 0.73315 0 0 0 0 0 0 0 0.09093338 0 0 0.1358748 0
PD11761a 0.4885435 0.1515093 0 0 0 0 0 0 0 0.1094285 0 0.1388346 0
PD3989a 0.6896394 0 0 0 0 0.1850454 0 0 0 0 0 0 0.0962909
PD4970a 0.5201813 0 0 0 0 0.206341 0 0 0.208015 0 0 0 0
PD18188a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD18756a 0.956075 0 0 0 0 0 0 0 0 0 0 0 0
PD4076a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD6418a 0.8591312 0 0 0 0 0 0 0 0 0 0 0.1146371 0
PD7238a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD9761a 0.6649103 0 0 0 0 0 0 0 0.1124381 0.2037039 0 0 0
PD11462a 0.6200249 0 0.06558078 0 0.07759885 0 0 0 0 0.2264976 0 0 0
PD13756a 0.8339058 0 0 0 0 0 0 0 0 0 0 0.154258 0
PD13758a 0.7356348 0 0 0.2106464 0 0 0 0 0 0 0 0 0
PD18768a 0.7730617 0 0 0 0 0.1720094 0 0 0 0 0 0 0
PD13168a 0.7007355 0 0 0.0672208 0 0 0 0 0 0.2156296 0 0 0
PD13755a 0.2947014 0 0 0 0 0.4395461 0 0 0.2657525 0 0 0 0
